concentration,time
INATTENTIVE,2021-09-13 12:36:45.608351
INATTENTIVE,2021-09-13 12:36:45.734498
INATTENTIVE,2021-09-13 12:36:46.268579
ATTENTIVE,2021-09-13 12:36:46.416629
ATTENTIVE,2021-09-13 12:36:46.565960
ATTENTIVE,2021-09-13 12:36:46.719916
ATTENTIVE,2021-09-13 12:36:46.869737
ATTENTIVE,2021-09-13 12:36:47.033273
ATTENTIVE,2021-09-13 12:36:47.186729
ATTENTIVE,2021-09-13 12:36:47.360155
ATTENTIVE,2021-09-13 12:36:47.553600
ATTENTIVE,2021-09-13 12:36:47.730551
ATTENTIVE,2021-09-13 12:36:47.809228
ATTENTIVE,2021-09-13 12:36:47.955428
ATTENTIVE,2021-09-13 12:36:48.026467
INATTENTIVE,2021-09-13 12:36:48.101289
ATTENTIVE,2021-09-13 12:36:48.174957
ATTENTIVE,2021-09-13 12:36:48.251325
ATTENTIVE,2021-09-13 12:36:48.348719
ATTENTIVE,2021-09-13 12:36:48.466502
ATTENTIVE,2021-09-13 12:36:48.588934
ATTENTIVE,2021-09-13 12:36:48.856838
ATTENTIVE,2021-09-13 12:36:49.081130
ATTENTIVE,2021-09-13 12:36:49.300072
ATTENTIVE,2021-09-13 12:36:49.416008
ATTENTIVE,2021-09-13 12:36:49.532249
ATTENTIVE,2021-09-13 12:36:49.740796
ATTENTIVE,2021-09-13 12:36:49.828075
ATTENTIVE,2021-09-13 12:36:49.915674
ATTENTIVE,2021-09-13 12:36:50.100953
ATTENTIVE,2021-09-13 12:36:50.188891
ATTENTIVE,2021-09-13 12:36:50.269175
ATTENTIVE,2021-09-13 12:36:50.349450
ATTENTIVE,2021-09-13 12:36:50.420809
ATTENTIVE,2021-09-13 12:36:50.496505
ATTENTIVE,2021-09-13 12:36:50.573157
ATTENTIVE,2021-09-13 12:36:50.645724
ATTENTIVE,2021-09-13 12:36:50.711110
ATTENTIVE,2021-09-13 12:36:50.775548
ATTENTIVE,2021-09-13 12:36:50.845531
ATTENTIVE,2021-09-13 12:36:50.923202
ATTENTIVE,2021-09-13 12:36:51.000138
ATTENTIVE,2021-09-13 12:36:51.075181
ATTENTIVE,2021-09-13 12:36:51.152175
ATTENTIVE,2021-09-13 12:36:51.230295
ATTENTIVE,2021-09-13 12:36:51.304298
ATTENTIVE,2021-09-13 12:36:51.373946
ATTENTIVE,2021-09-13 12:36:51.449317
ATTENTIVE,2021-09-13 12:36:51.527606
ATTENTIVE,2021-09-13 12:36:51.598797
ATTENTIVE,2021-09-13 12:36:51.674702
ATTENTIVE,2021-09-13 12:36:51.747773
ATTENTIVE,2021-09-13 12:36:51.828743
ATTENTIVE,2021-09-13 12:36:51.898008
ATTENTIVE,2021-09-13 12:36:51.977130
ATTENTIVE,2021-09-13 12:36:52.053878
INATTENTIVE,2021-09-13 12:36:52.124101
INATTENTIVE,2021-09-13 12:36:52.192533
INATTENTIVE,2021-09-13 12:36:52.256330
INATTENTIVE,2021-09-13 12:36:52.325768
INATTENTIVE,2021-09-13 12:36:52.393380
INATTENTIVE,2021-09-13 12:36:52.453345
INATTENTIVE,2021-09-13 12:36:52.514312
INATTENTIVE,2021-09-13 12:36:52.574275
INATTENTIVE,2021-09-13 12:36:52.637239
INATTENTIVE,2021-09-13 12:36:52.701204
INATTENTIVE,2021-09-13 12:36:52.766165
ATTENTIVE,2021-09-13 12:36:52.846121
ATTENTIVE,2021-09-13 12:36:52.920381
INATTENTIVE,2021-09-13 12:36:52.998940
INATTENTIVE,2021-09-13 12:36:53.074280
INATTENTIVE,2021-09-13 12:36:53.147964
INATTENTIVE,2021-09-13 12:36:53.223156
INATTENTIVE,2021-09-13 12:36:53.304526
INATTENTIVE,2021-09-13 12:36:53.376956
ATTENTIVE,2021-09-13 12:36:53.452305
ATTENTIVE,2021-09-13 12:36:53.556199
ATTENTIVE,2021-09-13 12:36:53.621307
INATTENTIVE,2021-09-13 12:36:53.686868
INATTENTIVE,2021-09-13 12:36:53.755030
INATTENTIVE,2021-09-13 12:36:53.824999
INATTENTIVE,2021-09-13 12:36:53.904273
INATTENTIVE,2021-09-13 12:36:53.975819
INATTENTIVE,2021-09-13 12:36:54.037300
ATTENTIVE,2021-09-13 12:36:54.166837
ATTENTIVE,2021-09-13 12:36:54.242913
INATTENTIVE,2021-09-13 12:36:54.329933
ATTENTIVE,2021-09-13 12:36:54.413668
ATTENTIVE,2021-09-13 12:36:54.485358
ATTENTIVE,2021-09-13 12:36:54.562526
INATTENTIVE,2021-09-13 12:36:54.636741
ATTENTIVE,2021-09-13 12:36:54.711699
ATTENTIVE,2021-09-13 12:36:54.791454
INATTENTIVE,2021-09-13 12:36:54.857465
INATTENTIVE,2021-09-13 12:36:54.916506
INATTENTIVE,2021-09-13 12:36:54.974139
INATTENTIVE,2021-09-13 12:36:55.038464
INATTENTIVE,2021-09-13 12:36:55.101234
INATTENTIVE,2021-09-13 12:36:55.163325
INATTENTIVE,2021-09-13 12:36:55.224183
INATTENTIVE,2021-09-13 12:36:55.290746
INATTENTIVE,2021-09-13 12:36:55.361979
INATTENTIVE,2021-09-13 12:36:55.421885
INATTENTIVE,2021-09-13 12:36:55.477776
INATTENTIVE,2021-09-13 12:36:55.536834
INATTENTIVE,2021-09-13 12:36:55.595398
INATTENTIVE,2021-09-13 12:36:55.661546
ATTENTIVE,2021-09-13 12:36:55.733932
ATTENTIVE,2021-09-13 12:36:55.865570
ATTENTIVE,2021-09-13 12:36:55.936119
ATTENTIVE,2021-09-13 12:36:56.086587
ATTENTIVE,2021-09-13 12:36:56.154072
ATTENTIVE,2021-09-13 12:36:56.228955
ATTENTIVE,2021-09-13 12:36:56.309983
ATTENTIVE,2021-09-13 12:36:56.380958
ATTENTIVE,2021-09-13 12:36:56.455767
ATTENTIVE,2021-09-13 12:36:56.532775
ATTENTIVE,2021-09-13 12:36:56.671529
ATTENTIVE,2021-09-13 12:36:56.746348
ATTENTIVE,2021-09-13 12:36:56.823696
ATTENTIVE,2021-09-13 12:36:56.897280
ATTENTIVE,2021-09-13 12:36:56.993867
ATTENTIVE,2021-09-13 12:36:57.063264
ATTENTIVE,2021-09-13 12:36:57.139071
ATTENTIVE,2021-09-13 12:36:57.214075
ATTENTIVE,2021-09-13 12:36:57.290369
ATTENTIVE,2021-09-13 12:36:57.429646
ATTENTIVE,2021-09-13 12:36:57.568281
ATTENTIVE,2021-09-13 12:36:57.709144
ATTENTIVE,2021-09-13 12:36:57.774280
ATTENTIVE,2021-09-13 12:36:57.863518
ATTENTIVE,2021-09-13 12:36:58.000269
